datetime,main_aqi,components_co,components_no,components_no2,components_o3,components_so2,components_pm2_5,components_pm10,components_nh3,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation,city
2023-10-02 14:00:00,5,3097.53,1.16,134.35,26.82,16.21,158.48,209.27,38.5,27.2,53.0,16.8,0.0,967.9,5.4,37.0,0,Peshawar
2023-08-14 18:00:00,5,400.54,0.0,14.91,77.96,2.26,139.57,670.09,5.0,24.5645,15.460972,-3.3855,0.0,836.62665,5.4833565,156.80138,0,Quetta
2024-03-04 16:00:00,4,1535.42,0.0,54.15,107.29,20.5,73.24,95.64,23.31,25.2,17.0,-1.6,0.0,1014.5,2.97,228.0,645,Karachi
2022-08-19 11:00:00,5,243.66,0.42,3.77,35.05,1.61,25.81,119.53,0.26,28.5,76.0,23.8,0.0,1000.9,4.62,219.0,155,Karachi
2023-10-18 01:00:00,3,554.08,0.0,9.94,72.24,12.4,39.61,68.05,5.64,27.0,84.0,24.1,0.0,1012.9,0.98,294.0,0,Karachi
2023-12-16 21:00:00,5,3738.4,46.94,82.25,0.0,14.9,183.98,245.28,37.49,11.3,71.0,6.2,0.0,956.3,2.2,360.0,0,Islamabad
2022-03-29 19:00:00,5,827.79,0.0,28.45,81.54,6.79,55.31,127.44,10.13,28.1,59.0,19.3,0.0,1005.4,6.05,262.0,27,Karachi
2022-05-27 13:00:00,5,761.03,0.21,18.34,148.77,7.99,68.42,102.43,11.02,38.7,13.0,5.4,0.0,955.2,11.0,293.0,209,Peshawar
2022-03-11 11:00:00,5,2349.85,3.63,75.4,311.85,14.9,282.0,339.97,15.58,31.3,27.0,10.1,0.0,1013.9,0.41,76.0,700,Karachi
2024-03-12 04:00:00,5,3898.62,67.06,62.38,12.87,10.85,105.73,143.41,68.9,17.3,61.0,9.7,0.0,978.2,1.5,194.0,377,Peshawar
2022-07-05 18:00:00,4,1508.71,2.77,57.58,3.04,3.58,25.04,33.48,17.99,37.7,39.0,21.4,0.0,958.6,11.7,133.0,0,Peshawar
2023-11-18 03:00:00,5,4859.92,73.31,98.71,0.66,21.46,268.67,313.37,57.25,11.3,86.0,9.0,0.0,956.2,3.2,333.0,0,Islamabad
2021-10-01 04:00:00,5,1228.33,0.58,16.11,125.89,7.99,81.48,86.49,6.08,27.5,65.0,20.4,0.1,970.8,6.2,36.0,383,Peshawar
2024-03-13 18:00:00,4,2243.04,13.63,66.49,4.29,8.94,67.84,80.17,16.72,16.2,73.0,11.4,0.1,951.3,9.0,106.0,57,Islamabad
